id,url_perfil,avatar,pais_origem,nome,apelido
76561198098109169,https://steamcommunity.com/profiles/76561198098109169/,https://avatars.steamstatic.com/86e3c2a8ad46838be2631d28e616e19c0e1e231b.jpg,BR,lmaya,
76561197996063158,https://steamcommunity.com/profiles/76561197996063158/,https://avatars.steamstatic.com/86db4eeb910bedb6afe798ca43dbf291a1da2487.jpg,BR,João VItor,
76561198002102193,https://steamcommunity.com/id/cmdr_shepardd/,https://avatars.steamstatic.com/9330ce6009d79d84cc822c5eba6065f85b32f817.jpg,,󠀡󠀡,cmdr_shepardd
76561198002481245,https://steamcommunity.com/id/Callegari/,https://avatars.steamstatic.com/b73c661b4c1286030ceec699ecd5d64610fa4c5c.jpg,,99,Callegari
76561198011395825,https://steamcommunity.com/id/ninjasdoid0/,https://avatars.steamstatic.com/976e8ac9fce27d6e6bb2d0ba5fdfd0dd5072cb5c.jpg,,Rodolfo,ninjasdoid0
76561198049187377,https://steamcommunity.com/id/aarkz/,https://avatars.steamstatic.com/bc84f8d7e87beddd4c97be82fc80addd4837e235.jpg,BR,Larissa,aarkz
76561198057208231,https://steamcommunity.com/id/MathMercy/,https://avatars.steamstatic.com/417c7843bebde19a359d3bf0d6f3ec2c368a45c0.jpg,BR,Matheus Sato,MathMercy
76561198071910981,https://steamcommunity.com/id/yasmindolol/,https://avatars.steamstatic.com/9308db1f667688237ceabacc69cde296c28a6533.jpg,BR,Yasmin do LoL,yasmindolol
76561198076160159,https://steamcommunity.com/id/renan_strife/,https://avatars.steamstatic.com/5a260da65792c56ef38b50b8c0f3d5762d0371d3.jpg,BR,Renan Souza,renan_strife
76561198104358758,https://steamcommunity.com/id/xraizan/,https://avatars.steamstatic.com/84e29c1b5ab075d970eda363a57b6d0202428493.jpg,BR,Marcos Galvão,xraizan
76561198116734997,https://steamcommunity.com/profiles/76561198116734997/,https://avatars.steamstatic.com/85a088891e143fee6a11dd24c9ce13096f876aff.jpg,BR,Jeeh,
76561198119687917,https://steamcommunity.com/id/Speedytradeoffer/,https://avatars.steamstatic.com/f5f60631f34ef8f564846a92bf08ef8dd7e7feb2.jpg,BR,⠀⠀⠀⠀⠀⠀⠀⠀,Speedytradeoffer
76561198120548614,https://steamcommunity.com/id/ErikkaSantos/,https://avatars.steamstatic.com/1c1d12700fe01e0a402c1fa9537b133eed79d4c0.jpg,BR,Erika ❤,ErikkaSantos
76561198128399931,https://steamcommunity.com/id/MaiaCastro/,https://avatars.steamstatic.com/89c390d57e197df3b08c3419654b7eab371de88d.jpg,BR,"Renan ""MaiaCastro""",MaiaCastro
76561198138919642,https://steamcommunity.com/profiles/76561198138919642/,https://avatars.steamstatic.com/71c4cfcc74535f33f575f9644d5a7fad6009df7f.jpg,BR,Gustavo Tavares,
76561198143819270,https://steamcommunity.com/profiles/76561198143819270/,https://avatars.steamstatic.com/3b6692ff635b0371a3f0a3b4148eb548548b7a41.jpg,,SleepyGuardian,
76561198164090733,https://steamcommunity.com/id/gbkimura/,https://avatars.steamstatic.com/68398993a9462e884b382708be7933ef943cadf9.jpg,,Gabriel,gbkimura
76561198169352555,https://steamcommunity.com/profiles/76561198169352555/,https://avatars.steamstatic.com/5628a2b853f414a3ef60315703dac290395ea6a6.jpg,BR,Ary,
76561198226806708,https://steamcommunity.com/id/leandromnghn/,https://avatars.steamstatic.com/e29ddc40eb41e28272101e7066e30bcf094fbb5a.jpg,BR,Leandro,leandromnghn
76561198275998061,https://steamcommunity.com/profiles/76561198275998061/,https://avatars.steamstatic.com/27ce1728e4859fda89df4752fb660abd34325ff0.jpg,BR,anderson da silva,
