appid,tempo_jogado,steamid
4000,230,76561198098109169
6870,0,76561198098109169
6880,0,76561198098109169
6910,0,76561198098109169
6920,0,76561198098109169
6980,0,76561198098109169
7000,0,76561198098109169
7010,0,76561198098109169
8000,0,76561198098109169
400,363,76561198098109169
8080,0,76561198098109169
8100,0,76561198098109169
8140,31,76561198098109169
1250,21747,76561198098109169
35420,7,76561198098109169
3590,102,76561198098109169
8170,0,76561198098109169
34900,285,76561198098109169
3610,328,76561198098109169
35000,0,76561198098109169
550,133,76561197996063158
35140,75,76561197996063158
55100,0,76561197996063158
620,564,76561197996063158
55150,0,76561197996063158
3830,174,76561197996063158
67370,0,76561197996063158
207610,3,76561197996063158
50300,0,76561197996063158
217200,77,76561197996063158
200260,2557,76561197996063158
202970,76,76561197996063158
202990,1992,76561197996063158
212910,16,76561197996063158
204100,316,76561197996063158
225260,30,76561197996063158
210770,171,76561197996063158
228300,185,76561197996063158
234650,0,76561197996063158
65930,0,76561197996063158
10,112781,76561198002481245
20,46,76561198002481245
30,0,76561198002481245
40,0,76561198002481245
50,152,76561198002481245
60,77,76561198002481245
70,35,76561198002481245
130,63,76561198002481245
113400,51,76561198002481245
212390,11,76561198002481245
202090,48,76561198002481245
226320,0,76561198002481245
242760,199,76561198002481245
218620,7166,76561198002481245
271590,4072,76561198002481245
282660,17,76561198002481245
730,94000,76561198002481245
301640,214,76561198002481245
346330,18,76561198002481245
287290,15,76561198002481245
10,0,76561198011395825
80,0,76561198011395825
100,0,76561198011395825
300,297,76561198011395825
20,0,76561198011395825
30,0,76561198011395825
40,0,76561198011395825
50,0,76561198011395825
60,0,76561198011395825
70,0,76561198011395825
130,0,76561198011395825
220,52,76561198011395825
340,0,76561198011395825
240,1740,76561198011395825
280,0,76561198011395825
360,0,76561198011395825
320,75,76561198011395825
380,0,76561198011395825
7000,0,76561198011395825
8000,149,76561198011395825
240,101,76561198049187377
20,0,76561198049187377
50,55,76561198049187377
70,607,76561198049187377
130,0,76561198049187377
10,0,76561198049187377
30,0,76561198049187377
40,0,76561198049187377
60,0,76561198049187377
80,0,76561198049187377
100,0,76561198049187377
1200,1,76561198049187377
1230,0,76561198049187377
1280,0,76561198049187377
4000,309,76561198049187377
6850,0,76561198049187377
6860,0,76561198049187377
6900,38,76561198049187377
6880,0,76561198049187377
4560,0,76561198049187377
4000,1881,76561198057208231
12200,695,76561198057208231
550,3141,76561198057208231
31280,587,76561198057208231
50300,0,76561198057208231
55100,0,76561198057208231
620,1116,76561198057208231
105600,59046,76561198057208231
67370,31,76561198057208231
207610,835,76561198057208231
219740,3074,76561198057208231
322330,34279,76561198057208231
227300,651,76561198057208231
109400,8,76561198057208231
230410,24069,76561198057208231
65930,0,76561198057208231
215530,301,76561198057208231
242760,2722,76561198057208231
218620,33139,76561198057208231
252950,424,76561198057208231
500,182,76561198071910981
1250,90,76561198071910981
35420,0,76561198071910981
3590,628,76561198071910981
41500,593,76561198071910981
550,1305,76561198071910981
21130,33,76561198071910981
57300,303,76561198071910981
40800,50,76561198071910981
42910,798,76561198071910981
620,241,76561198071910981
105600,1122,76561198071910981
113200,25,76561198071910981
67370,0,76561198071910981
204120,0,76561198071910981
207570,21,76561198071910981
204300,1708,76561198071910981
217690,53,76561198071910981
200710,0,76561198071910981
38830,0,76561198071910981
10,0,76561198076160159
80,0,76561198076160159
100,0,76561198076160159
50,0,76561198076160159
130,0,76561198076160159
220,0,76561198076160159
340,0,76561198076160159
280,0,76561198076160159
360,0,76561198076160159
320,0,76561198076160159
380,0,76561198076160159
7010,0,76561198076160159
2310,0,76561198076160159
7670,0,76561198076160159
409710,0,76561198076160159
420,0,76561198076160159
8080,0,76561198076160159
12120,0,76561198076160159
12250,0,76561198076160159
16730,0,76561198076160159
10,194,76561198104358758
30,0,76561198104358758
40,5,76561198104358758
60,0,76561198104358758
80,0,76561198104358758
100,0,76561198104358758
4000,2564,76561198104358758
400,0,76561198104358758
10500,92,76561198104358758
16720,0,76561198104358758
1250,0,76561198104358758
35420,0,76561198104358758
6060,150,76561198104358758
8600,53,76561198104358758
8640,0,76561198104358758
8690,1,76561198104358758
44630,0,76561198104358758
11390,0,76561198104358758
20900,0,76561198104358758
17450,4168,76561198104358758
70,8,76561198116734997
4000,33,76561198116734997
8000,30,76561198116734997
9050,0,76561198116734997
9070,0,76561198116734997
208200,0,76561198116734997
220,141,76561198116734997
320,0,76561198116734997
340,0,76561198116734997
360,0,76561198116734997
380,10,76561198116734997
400,5,76561198116734997
420,0,76561198116734997
12140,449,76561198116734997
12150,0,76561198116734997
19200,0,76561198116734997
500,30731,76561198116734997
19000,9,76561198116734997
8140,17,76561198116734997
13600,0,76561198116734997
20,102,76561198119687917
70,5400,76561198119687917
220,15211,76561198119687917
340,0,76561198119687917
280,297,76561198119687917
360,2,76561198119687917
320,0,76561198119687917
380,0,76561198119687917
3830,7423,76561198119687917
4000,38186,76561198119687917
7670,6997,76561198119687917
409710,155,76561198119687917
420,0,76561198119687917
12120,565,76561198119687917
12250,9198,76561198119687917
21000,1213,76561198119687917
17390,2888,76561198119687917
17410,227,76561198119687917
26000,8823,76561198119687917
3590,6047,76561198119687917
10,19,76561198120548614
80,0,76561198120548614
100,0,76561198120548614
4000,1589,76561198120548614
500,4071,76561198120548614
19000,6,76561198120548614
17410,0,76561198120548614
21680,57,76561198120548614
550,72522,76561198120548614
3730,848,76561198120548614
10680,1600,76561198120548614
45740,0,76561198120548614
21130,0,76561198120548614
47790,0,76561198120548614
47830,0,76561198120548614
204120,0,76561198120548614
224300,827,76561198120548614
224940,7,76561198120548614
214510,183,76561198120548614
223710,36,76561198120548614
2620,12,76561198128399931
4000,227,76561198128399931
19000,0,76561198128399931
20900,51,76561198128399931
550,248,76561198128399931
41000,260,76561198128399931
564310,0,76561198128399931
10680,18,76561198128399931
47810,0,76561198128399931
20920,0,76561198128399931
92100,8,76561198128399931
102600,71,76561198128399931
108710,0,76561198128399931
201790,2325,76561198128399931
204360,777,76561198128399931
9050,0,76561198128399931
9070,0,76561198128399931
208200,55,76561198128399931
214870,297,76561198128399931
220240,48,76561198128399931
99900,362,76561198138919642
109600,201,76561198138919642
263500,3802,76561198138919642
39120,32965,76561198138919642
202090,255,76561198138919642
253710,70,76561198138919642
242760,2487,76561198138919642
295550,3019,76561198138919642
215080,5015,76561198138919642
322330,13052,76561198138919642
372000,808,76561198138919642
381210,19661,76561198138919642
386360,345,76561198138919642
858460,0,76561198138919642
407530,19,76561198138919642
413150,772,76561198138919642
444090,2341,76561198138919642
596350,0,76561198138919642
442080,2693,76561198138919642
438740,54,76561198138919642
223710,42,76561198169352555
260410,0,76561198169352555
252150,77,76561198169352555
271590,1176,76561198169352555
272060,0,76561198169352555
346110,2024,76561198169352555
407530,0,76561198169352555
346290,0,76561198169352555
298180,0,76561198169352555
372000,18,76561198169352555
381210,63875,76561198169352555
386360,161,76561198169352555
858460,0,76561198169352555
291550,31,76561198169352555
